Date,Day,Start Time,Arrival Time,Starting Location,Arrival Location
2024-02-14,Wednesday,16:49,18:04,Work,Gym
2024-02-14,Wednesday,19:27,19:42,Gym,Home
2024-02-15,Thursday,08:10,08:56,Home,Work
2024-02-15,Thursday,17:13,18:15,Work,Gym
2024-02-15,Thursday,19:14,19:49,Gym,Home
2024-02-16,Friday,07:45,09:04,Home,Work
2024-02-16,Friday,16:55,17:50,Work,Gym
2024-02-16,Friday,19:30,19:46,Gym,Home
2024-02-17,Saturday,15:09,16:07,Home,Cinema
2024-02-17,Saturday,18:37,19:18,Cinema,Friend's House
2024-02-17,Saturday,20:56,21:15,Friend's House,Home
2024-02-18,Sunday,08:08,09:50,Home,Restaurant
2024-02-18,Sunday,12:38,13:01,Restaurant,Grocery Store
2024-02-18,Sunday,15:38,16:16,Grocery Store,Dry Cleaners
2024-02-18,Sunday,18:21,19:56,Dry Cleaners,Home
2024-02-19,Monday,07:55,09:02,Home,Work
2024-02-19,Monday,16:46,18:02,Work,Gym
2024-02-19,Monday,19:23,19:37,Gym,Home
2024-02-20,Tuesday,08:09,09:02,Home,Work
2024-02-20,Tuesday,16:56,17:45,Work,Gym
2024-02-20,Tuesday,19:02,19:31,Gym,Home
2024-02-21,Wednesday,08:04,08:49,Home,Work
2024-02-21,Wednesday,16:55,17:58,Work,Gym
2024-02-21,Wednesday,19:10,19:36,Gym,Home
2024-02-22,Thursday,08:06,08:52,Home,Work
2024-02-22,Thursday,17:06,17:53,Work,Gym
2024-02-22,Thursday,19:21,19:47,Gym,Home
2024-02-23,Friday,07:52,09:00,Home,Work
2024-02-23,Friday,17:12,17:45,Work,Gym
2024-02-23,Friday,19:29,19:51,Gym,Home
2024-02-24,Saturday,08:47,09:29,Home,Park
2024-02-24,Saturday,12:36,13:43,Park,Home
2024-02-25,Sunday,08:10,09:28,Home,Restaurant
2024-02-25,Sunday,10:17,11:13,Restaurant,Home
2024-02-26,Monday,08:03,09:11,Home,Work
2024-02-26,Monday,17:02,17:50,Work,Gym
2024-02-26,Monday,19:00,19:36,Gym,Home
2024-02-27,Tuesday,08:03,08:50,Home,Work
2024-02-27,Tuesday,16:57,17:54,Work,Gym
2024-02-27,Tuesday,19:21,19:54,Gym,Home
2024-02-28,Wednesday,08:06,09:06,Home,Work
2024-02-28,Wednesday,16:46,18:03,Work,Gym
2024-02-28,Wednesday,19:08,19:40,Gym,Home
2024-02-29,Thursday,08:14,08:58,Home,Work
2024-02-29,Thursday,16:55,18:07,Work,Gym
2024-02-29,Thursday,19:26,19:51,Gym,Home
2024-03-01,Friday,13:19,14:54,Home,Restaurant
2024-03-01,Friday,17:43,18:09,Restaurant,Grocery Store
2024-03-01,Friday,21:46,22:09,Grocery Store,Home
2024-03-02,Saturday,10:11,11:58,Home,Cinema
2024-03-02,Saturday,14:50,15:01,Cinema,Mall
2024-03-02,Saturday,16:04,17:02,Mall,Home
2024-03-04,Monday,13:18,14:42,Home,Restaurant
2024-03-04,Monday,17:15,18:39,Restaurant,Grocery Store
2024-03-04,Monday,19:56,20:15,Grocery Store,Home
2024-03-05,Tuesday,08:06,08:58,Home,Work
2024-03-05,Tuesday,16:53,17:55,Work,Gym
2024-03-05,Tuesday,19:01,19:58,Gym,Home
2024-03-06,Wednesday,08:06,08:53,Home,Work
2024-03-06,Wednesday,17:06,17:51,Work,Gym
2024-03-06,Wednesday,19:30,19:51,Gym,Home
2024-03-07,Thursday,08:11,09:03,Home,Work
2024-03-07,Thursday,17:06,18:13,Work,Gym
2024-03-07,Thursday,19:07,19:33,Gym,Home
2024-03-08,Friday,07:51,08:54,Home,Work
2024-03-08,Friday,17:10,18:02,Work,Gym
2024-03-08,Friday,19:19,19:31,Gym,Home
2024-03-10,Sunday,11:25,12:02,Home,Cinema
2024-03-10,Sunday,13:32,14:28,Cinema,Restaurant
2024-03-10,Sunday,17:31,18:44,Restaurant,Home
2024-03-11,Monday,08:02,08:49,Home,Work
2024-03-11,Monday,17:08,17:52,Work,Gym
2024-03-11,Monday,19:03,19:37,Gym,Home
2024-03-12,Tuesday,07:56,09:04,Home,Work
2024-03-12,Tuesday,17:00,17:51,Work,Gym
2024-03-12,Tuesday,19:00,19:33,Gym,Home
2024-03-13,Wednesday,08:05,09:04,Home,Work
2024-03-13,Wednesday,17:03,18:09,Work,Gym
2024-03-13,Wednesday,19:19,19:37,Gym,Home
2024-03-14,Thursday,07:54,08:50,Home,Work
2024-03-14,Thursday,17:01,17:57,Work,Gym
2024-03-14,Thursday,19:00,19:32,Gym,Home
2024-03-15,Friday,08:00,09:05,Home,Work
2024-03-15,Friday,16:55,17:45,Work,Gym
2024-03-15,Friday,19:24,19:48,Gym,Home
2024-03-16,Saturday,16:31,17:50,Home,Park
2024-03-16,Saturday,18:44,19:42,Park,Friend's House
2024-03-16,Saturday,22:14,23:20,Friend's House,Home
2024-03-17,Sunday,10:38,11:44,Home,Mall
2024-03-17,Sunday,14:43,15:25,Mall,Dry Cleaners
2024-03-17,Sunday,18:04,19:49,Dry Cleaners,Home
2024-03-18,Monday,07:46,09:03,Home,Work
2024-03-18,Monday,16:53,17:47,Work,Gym
2024-03-18,Monday,19:18,19:42,Gym,Home
2024-03-19,Tuesday,08:00,08:54,Home,Work
2024-03-19,Tuesday,16:46,17:48,Work,Gym
2024-03-19,Tuesday,19:30,19:33,Gym,Home
2024-03-20,Wednesday,07:56,08:57,Home,Work
2024-03-20,Wednesday,17:01,18:09,Work,Gym
2024-03-20,Wednesday,19:18,19:49,Gym,Home
2024-03-21,Thursday,08:12,09:00,Home,Work
2024-03-21,Thursday,17:08,18:09,Work,Gym
2024-03-21,Thursday,19:02,19:30,Gym,Home
2024-03-22,Friday,18:49,19:36,Home,Friend's House
2024-03-22,Friday,20:45,21:44,Friend's House,Dry Cleaners
2024-03-22,Friday,24:40,23:13,Dry Cleaners,Home
2024-03-25,Monday,08:01,09:07,Home,Work
2024-03-25,Monday,17:14,17:45,Work,Gym
2024-03-25,Monday,19:09,19:55,Gym,Home
2024-03-26,Tuesday,08:05,08:52,Home,Work
2024-03-26,Tuesday,17:02,17:52,Work,Gym
2024-03-26,Tuesday,19:09,19:30,Gym,Home
2024-03-27,Wednesday,07:49,09:02,Home,Work
2024-03-27,Wednesday,16:58,18:06,Work,Gym
2024-03-27,Wednesday,19:26,19:35,Gym,Home
2024-03-28,Thursday,16:47,17:52,Home,Restaurant
2024-03-28,Thursday,20:39,21:53,Restaurant,Mall
2024-03-28,Thursday,24:36,23:51,Mall,Home
2024-03-29,Friday,08:06,09:12,Home,Work
2024-03-29,Friday,17:06,17:48,Work,Gym
2024-03-29,Friday,19:15,19:59,Gym,Home
2024-03-31,Sunday,17:25,18:51,Home,Cinema
2024-03-31,Sunday,21:14,22:38,Cinema,Park
2024-03-31,Sunday,24:49,23:40,Park,Home
